Data;DventoSI;DventoSG;Precipitacao;velocidadedovento;Njus;Nsv;Nsi;Nmon
07/10/2021;146,2;238,26;0;2,3;0,3148;2,26;2,1647;0,6546
08/10/2021;78,58;180,86;0;2,833333;0,3935;2,4;1,9729;0,4593
09/10/2021;50,68;137,3;0;4,6;0,3135;2,46;1,8669;0,6072
10/10/2021;173,43;265,65;1,4;5,733333;0,3202;2,51;1,763;0,627
11/10/2021;137,88;117,94;0,2;4,9;0,3341;2,63;1,6058;0,6668
12/10/2021;160,84;153,2;13,6;1,833333;0,3673;2,4;1,9143;0,6713
13/10/2021;233,74;213,8;0;3,733333;0,4371;2,41;1,8665;0,7439
14/10/2021;178,32;235,65;3,8;3,433333;0,6137;2,35;1,897;0,911
15/10/2021;78,81;145,29;0;4,333333;0,5864;2,05;2,1506;0,8005
16/10/2021;186,49;207,15;14,6;4,4;0,4643;2,19;2,0266;0,7218
17/10/2021;185,81;182,64;0;2,4;0,4818;2,32;1,8801;0,5702
18/10/2021;169,63;191,24;0;2,533333;0,3698;2,3;1,8573;0,6189
19/10/2021;180,92;189,57;0;2,866667;0,3555;2,32;1,7976;0,5533
20/10/2021;233,26;218,13;0;3,666667;0,4618;2,35;1,7377;0,6889
21/10/2021;214,56;239,34;0;2,5;0,5753;2,27;1,7793;0,7378
22/10/2021;186,97;144,56;0;2,7;0,6231;2,27;1,7473;0,6772
23/10/2021;39,66;144,34;0;2,966667;0,7669;2,22;1,7618;0,8926
24/10/2021;85,62;108,25;18,4;4,366667;0,8969;2,08;1,9114;1,0082
25/10/2021;114,91;114,54;0;3,733333;1,0883;2,28;1,6696;1,0398
26/10/2021;49,72;117,54;0;1,6;1,2958;2,17;1,7123;1,376
27/10/2021;46,74;128,49;0;2,233333;1,0543;2,15;1,6929;1,1958
28/10/2021;200,76;254,83;0;3,933333;;2,16;1,6255;0,8918
29/10/2021;196,44;194,12;0;6,8;;2,31;1,4274;0,8149
30/10/2021;208,36;186,24;0,2;7,533333;;2,4;1,2987;0,7707
31/10/2021;73,15;72,57;0;5,7;0,6161;2,2;1,4844;0,8987
01/11/2021;143,75;185,13;0;4,6;0,5303;2,13;1,5245;0,7839
02/11/2021;48,56;116,08;0;4,5;0,5766;2,18;1,4442;0,8272
03/11/2021;57,71;201,64;5,5;3,6;0,5777;2,16;1,4137;0,6885
04/11/2021;261,02;260,22;10,1;3,233333;0,5422;2,02;1,527;0,7809
05/11/2021;72,51;96,52;0;3,3;0,6237;1,77;1,6721;0,8362
06/11/2021;92,74;92,29;2,2;2,966667;0,4967;1,76;1,7064;0,6748
07/11/2021;165,45;168,19;0;2,2;0,4919;1,9;1,536;0,6707
08/11/2021;44,09;250,15;0;2,3;0,5195;1,92;1,4803;0,7248
